strata,length,age,maturity,stock,number,biomass_g,meanW_g
41,22,4,MAT,her-3a22,320340.2664,24666200.51,77
41,23.5,4,MAT,her-3a22,156259.6708,15313447.74,98
41,24.5,4,MAT,her-3a22,1602079.246,219284596.7,136.875
41,25.5,4,MAT,her-3a22,593184.7712,81266313.65,137
41,26,4,MAT,her-3a22,1561977.34,206024811.1,131.9
41,27,4,MAT,her-3a22,630491.1544,91578840.18,145.25
41,23,5,MAT,her-3a22,162824.6394,14328568.27,88
41,24.5,5,MAT,her-3a22,200259.9057,21828329.72,109
41,25.5,5,MAT,her-3a22,593184.7712,82452683.2,139
41,27,5,MAT,her-3a22,472868.3658,70930254.87,150
41,27.5,5,MAT,her-3a22,348963.1298,55834100.77,160
41,29.5,5,MAT,her-3a22,476956.4265,87759982.48,184
41,30,5,MAT,her-3a22,165225.1404,41801960.52,253
41,30.5,5,MAT,her-3a22,152270.1869,35631223.73,234
41,26.5,6,MAT,her-3a22,817126.3482,127471710.3,156
41,27,6,MAT,her-3a22,472868.3658,72348859.97,153
41,27.5,6,MAT,her-3a22,348963.1298,47110022.52,135
41,28,6,MAT,her-3a22,433123.7706,78684151.66,181.6666667
41,29,6,MAT,her-3a22,697931.197,147821827.5,211.8
41,29.5,6,MAT,her-3a22,1430869.28,322422544.3,225.3333333
41,30,6,MAT,her-3a22,495675.4212,112518320.6,227
41,30.5,6,MAT,her-3a22,152270.1869,43853813.83,288
41,31.5,6,MAT,her-3a22,168218.9973,43736939.3,260
41,26.5,7,MAT,her-3a22,680938.6235,100097977.7,147
41,27.5,7,MAT,her-3a22,348963.1298,68047810.31,195
41,28,7,MAT,her-3a22,144374.5902,25843051.65,179
41,30,7,MAT,her-3a22,495675.4212,103761388.2,209.3333333
41,29,8,MAT,her-3a22,139586.2394,24846350.61,178
41,29.5,8,MAT,her-3a22,158985.4755,28776371.07,181
41,30,8,MAT,her-3a22,165225.1404,38167007.43,231
41,31.5,12,MAT,her-3a22,168218.9973,42054749.33,250
41,10,0,IMM,her-47d3,95153.9657,570923.7942,6
41,13.5,1,IMM,her-47d3,4209.9656,58939.5184,14
41,15,1,IMM,her-47d3,7405.2216,162914.8752,22
41,15.5,1,IMM,her-47d3,131063.772,3460083.581,26.4
41,16,1,IMM,her-47d3,853015.6138,26199765.28,30.71428571
41,16.5,1,IMM,her-47d3,3471524.063,117833445.3,33.94285714
41,17,1,IMM,her-47d3,1896447.912,71841909.12,37.88235294
41,17.5,1,IMM,her-47d3,2047795.52,84215590.76,41.125
41,18,1,IMM,her-47d3,4635274.274,204724613.8,44.16666667
41,18.5,1,IMM,her-47d3,8375773.712,406539116.5,48.5375
41,19,1,IMM,her-47d3,15928854.53,845114226.2,53.05555556
41,19.5,1,IMM,her-47d3,28030647.22,1593427100,56.84589041
41,20,1,IMM,her-47d3,21561767.63,1348144184,62.52475248
41,20.5,1,IMM,her-47d3,21256900.89,1407851711,66.23033708
41,21,1,IMM,her-47d3,18290118.72,1340983315,73.31736527
41,21.5,1,IMM,her-47d3,11918982.42,931035058.3,78.11363636
41,22,1,IMM,her-47d3,9129697.592,786595524.1,86.15789474
41,22.5,1,IMM,her-47d3,3213641.761,295070743.5,91.81818182
